Date,Quantity,UnitPrice,ItemsInCart,ReferralSource,TotalPrice,CouponUsed,PricePerItem,OrderMonth,OrderYear,AverageCartValue,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_SAVE10,CouponCode_WINTER15
2023-01-04,5,570.62,7,3,2853.1,1,570.62,1,2023,407.59,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
2024-08-23,2,151.35,3,4,302.7,1,151.35,8,2024,100.9,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
2024-02-27,5,550.68,8,0,2753.4,1,550.68,2,2024,344.18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2023-10-15,1,273.19,5,1,273.19,1,273.19,10,2023,54.64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2025-05-08,4,626.01,8,0,2504.04,1,626.01,5,2025,313.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
2023-10-23,2,245.86,4,3,491.72,1,245.86,10,2023,122.93,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
2025-06-17,1,664.42,6,1,664.42,1,664.42,6,2025,110.74,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2023-05-12,5,149.55,9,1,747.75,1,149.55,5,2023,83.08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-04-02,2,134.28,2,0,268.56,1,134.28,4,2025,134.28,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-11-21,4,509.38,6,2,2037.52,1,509.38,11,2023,339.59,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2023-12-29,5,625.97,9,3,3129.85,1,625.97,12,2023,347.76,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
